"RK010"	"RK020"	"RK020_F"	"RK030"	"RK030_F"	"RK040"	"RK040_F"	"RK050"	"RK050_F"	"RK060"	"RK060_F"	"RK070"	"RK070_F"	"RK080"	"RK080_F"
147600201	11	" 1"	15	" 1"	"1"	" 1"	"1"	" 1"	"1"	" 1"	6	" 1"	"3"	" 1"
147600202	7	" 1"	15	" 1"	"1"	" 1"	"1"	" 1"	"1"	" 1"	6	" 1"	"3"	" 1"
229550101	11	" 1"	2	" 1"	"3"	" 1"	"1"	" 1"	"7"	" 1"	NA	"-1"	"1"	" 1"
229560101	15	" 1"	600	" 1"	"2"	" 1"	"1"	" 1"	"7"	" 1"	NA	"-1"	"3"	" 1"
229560102	13	" 1"	600	" 1"	"2"	" 1"	"1"	" 1"	"7"	" 1"	NA	"-1"	"3"	" 1"
229920101	9	" 1"	NA	"-1"	"1"	" 1"	"1"	" 1"	"1"	" 1"	7	" 1"	"3"	" 1"
224830101	10	" 1"	360	" 1"	"2"	" 1"	"3"	" 1"	"1"	" 1"	0	" 1"	"4"	" 1"
224830102	5	" 1"	360	" 1"	"2"	" 1"	"3"	" 1"	"1"	" 1"	0	" 1"	"4"	" 1"
230500101	17	" 1"	10	" 1"	"6"	" 1"	"1"	" 1"	"7"	" 1"	0	" 1"	"1"	" 1"
225370301	6	" 1"	15	" 1"	"1"	" 1"	"1"	" 1"	"3"	" 1"	4	" 1"	"1"	" 1"
232860101	10	" 1"	NA	"-1"	"1"	" 1"	"1"	" 1"	"6"	" 1"	15	" 1"	"4"	" 1"
