"RK010"	"RK020"	"RK020_F"	"RK030"	"RK030_F"	"RK040"	"RK040_F"	"RK050"	"RK050_F"	"RK060"	"RK060_F"	"RK070"	"RK070_F"	"RK080"	"RK080_F"
273370101	13	" 1"	5	" 1"	"1"	" 1"	"1"	" 1"	"1"	" 1"	4	" 1"	"3"	" 1"
273370102	10	" 1"	5	" 1"	"1"	" 1"	"1"	" 1"	"1"	" 1"	4	" 1"	"3"	" 1"
282570101	1	" 1"	7	" 1"	"1"	" 1"	"1"	" 1"	"1"	" 1"	1	" 1"	"3"	" 1"
277580101	NA	"-1"	NA	"-1"	"5"	" 1"	"3"	" 1"	"1"	" 1"	0	" 1"	"3"	" 1"
277580102	16	" 1"	NA	"-1"	"5"	" 1"	"3"	" 1"	"1"	" 1"	0	" 1"	"3"	" 1"
277580103	13	" 1"	NA	"-1"	"5"	" 1"	"3"	" 1"	"6"	" 1"	0	" 1"	"3"	" 1"
277580104	10	" 1"	NA	"-1"	"5"	" 1"	"3"	" 1"	"1"	" 1"	0	" 1"	"3"	" 1"
279790101	13	" 1"	10	" 1"	"6"	" 1"	"2"	" 1"	"4"	" 1"	8	" 1"	"1"	" 1"
274610101	17	" 1"	45	" 1"	"1"	" 1"	"1"	" 1"	"1"	" 1"	7	" 1"	"2"	" 1"
283200301	14	" 1"	720	" 1"	"1"	" 1"	"2"	" 1"	"1"	" 1"	0	" 1"	"1"	" 1"
136030101	17	" 1"	900	" 1"	"5"	" 1"	"1"	" 1"	"6"	" 1"	2	" 1"	"3"	" 1"
136590101	10	" 1"	30	" 1"	"1"	" 1"	"1"	" 1"	"3"	" 1"	6	" 1"	"1"	" 1"
136590102	9	" 1"	30	" 1"	"1"	" 1"	"1"	" 1"	"3"	" 1"	6	" 1"	"1"	" 1"
140440101	14	" 1"	NA	"-1"	"5"	" 1"	"3"	" 1"	"6"	" 1"	NA	"-1"	"2"	" 1"
140990101	17	" 1"	5	" 1"	"2"	" 1"	"3"	" 1"	"3"	" 1"	0	" 1"	"1"	" 1"
143860201	6	" 1"	990	" 1"	"1"	" 1"	"3"	" 1"	"1"	" 1"	0	" 1"	"3"	" 1"
144660201	15	" 1"	200	" 1"	"2"	" 1"	"3"	" 1"	"7"	" 1"	NA	"-1"	"1"	" 1"
144660202	13	" 1"	500	" 1"	"2"	" 1"	"3"	" 1"	"7"	" 1"	0	" 1"	"4"	" 1"
145060401	9	" 1"	60	" 1"	"1"	" 1"	"1"	" 1"	"3"	" 1"	26	" 1"	"1"	" 1"
145130101	13	" 1"	15	" 1"	"2"	" 1"	"3"	" 1"	"7"	" 1"	0	" 1"	"1"	" 1"
145130102	16	" 1"	15	" 1"	"2"	" 1"	"3"	" 1"	"7"	" 1"	0	" 1"	"1"	" 1"
145290201	14	" 1"	10	" 1"	"1"	" 1"	"1"	" 1"	"2"	" 1"	15	" 1"	"3"	" 1"
145370101	14	" 1"	120	" 1"	"1"	" 1"	"1"	" 1"	"4"	" 1"	2	" 1"	"3"	" 1"
145370201	7	" 1"	NA	"-1"	"3"	" 1"	"3"	" 1"	"7"	" 1"	0	" 1"	"3"	" 1"
145370202	12	" 1"	NA	"-1"	"3"	" 1"	"3"	" 1"	"7"	" 1"	0	" 1"	"3"	" 1"
148650201	11	" 1"	5	" 1"	"1"	" 1"	"1"	" 1"	"1"	" 1"	15	" 1"	"3"	" 1"
149260101	9	" 1"	40	" 1"	"5"	" 1"	"1"	" 1"	"6"	" 1"	0	" 1"	"1"	" 1"
150430301	14	" 1"	15	" 1"	"1"	" 1"	"2"	" 1"	"3"	" 1"	0	" 1"	"3"	" 1"
150430302	12	" 1"	15	" 1"	"1"	" 1"	"2"	" 1"	"3"	" 1"	0	" 1"	"3"	" 1"
151720101	6	" 1"	10	" 1"	"6"	" 1"	"1"	" 1"	"4"	" 1"	15	" 1"	"3"	" 1"
152370101	12	" 1"	30	" 1"	"1"	" 1"	"1"	" 1"	"3"	" 1"	4	" 1"	"1"	" 1"
152870101	10	" 1"	5	" 1"	"1"	" 1"	"1"	" 1"	"2"	" 1"	5	" 1"	"3"	" 1"
152980201	10	" 1"	20	" 1"	"2"	" 1"	"1"	" 1"	"4"	" 1"	2	" 1"	"1"	" 1"
160680101	8	" 1"	15	" 1"	"2"	" 1"	"1"	" 1"	"4"	" 1"	6	" 1"	"1"	" 1"
162540201	13	" 1"	5	" 1"	"1"	" 1"	"2"	" 1"	"1"	" 1"	4	" 1"	"1"	" 1"
162540202	12	" 1"	5	" 1"	"1"	" 1"	"2"	" 1"	"1"	" 1"	4	" 1"	"1"	" 1"
162740101	13	" 1"	80	" 1"	"2"	" 1"	"2"	" 1"	"1"	" 1"	4	" 1"	"1"	" 1"
162740102	5	" 1"	80	" 1"	"2"	" 1"	"2"	" 1"	"1"	" 1"	4	" 1"	"1"	" 1"
162950101	15	" 1"	5	" 1"	"1"	" 1"	"1"	" 1"	"1"	" 1"	5	" 1"	"1"	" 1"
170690101	15	" 1"	15	" 1"	"1"	" 1"	"1"	" 1"	"3"	" 1"	12	" 1"	"1"	" 1"
170690102	11	" 1"	15	" 1"	"1"	" 1"	"1"	" 1"	"3"	" 1"	12	" 1"	"1"	" 1"
170820101	17	" 1"	3	" 1"	"1"	" 1"	"1"	" 1"	"1"	" 1"	10	" 1"	"3"	" 1"
171330101	16	" 1"	10	" 1"	"3"	" 1"	"1"	" 1"	"4"	" 1"	0	" 1"	"1"	" 1"
171540101	11	" 1"	NA	"-1"	"2"	" 1"	"1"	" 1"	"1"	" 1"	4	" 1"	"1"	" 1"
171600101	14	" 1"	40	" 1"	"2"	" 1"	"1"	" 1"	"2"	" 1"	5	" 1"	"1"	" 1"
175770101	9	" 1"	35	" 1"	"1"	" 1"	"1"	" 1"	"3"	" 1"	5	" 1"	"3"	" 1"
175770102	7	" 1"	35	" 1"	"1"	" 1"	"1"	" 1"	"3"	" 1"	5	" 1"	"3"	" 1"
175770103	7	" 1"	35	" 1"	"1"	" 1"	"1"	" 1"	"3"	" 1"	5	" 1"	"3"	" 1"
175880101	12	" 1"	15	" 1"	"2"	" 1"	"1"	" 1"	"4"	" 1"	3	" 1"	"3"	" 1"
176820101	14	" 1"	NA	"-1"	"5"	" 1"	"1"	" 1"	"6"	" 1"	0	" 1"	"1"	" 1"
176820102	9	" 1"	NA	"-1"	"5"	" 1"	"1"	" 1"	"6"	" 1"	0	" 1"	"1"	" 1"
176820103	4	" 1"	NA	"-1"	"5"	" 1"	"1"	" 1"	"6"	" 1"	0	" 1"	"1"	" 1"
176940301	14	" 1"	25	" 1"	"2"	" 1"	"1"	" 1"	"1"	" 1"	4	" 1"	"1"	" 1"
177150101	10	" 1"	50	" 1"	"5"	" 1"	"1"	" 1"	"6"	" 1"	2	" 1"	"1"	" 1"
180100101	7	" 1"	10	" 1"	"1"	" 1"	"1"	" 1"	"3"	" 1"	10	" 1"	"1"	" 1"
180100102	11	" 1"	10	" 1"	"1"	" 1"	"1"	" 1"	"1"	" 1"	10	" 1"	"1"	" 1"
163740101	8	" 1"	20	" 1"	"1"	" 1"	"1"	" 1"	"1"	" 1"	12	" 1"	"3"	" 1"
188970101	17	" 1"	10	" 1"	"1"	" 1"	"1"	" 1"	"1"	" 1"	10	" 1"	"2"	" 1"
189080201	7	" 1"	NA	"-1"	"6"	" 1"	"3"	" 1"	"7"	" 1"	NA	"-1"	"1"	" 1"
208000201	12	" 1"	20	" 1"	"2"	" 1"	"1"	" 1"	"1"	" 1"	4	" 1"	"1"	" 1"
189600601	13	" 1"	NA	"-1"	"2"	" 1"	"3"	" 1"	"7"	" 1"	0	" 1"	"4"	" 1"
189600602	16	" 1"	NA	"-1"	"2"	" 1"	"3"	" 1"	"7"	" 1"	0	" 1"	"4"	" 1"
189650301	5	" 1"	15	" 1"	"1"	" 1"	"1"	" 1"	"3"	" 1"	15	" 1"	"3"	" 1"
189650302	2	" 1"	15	" 1"	"2"	" 1"	"1"	" 1"	"1"	" 1"	15	" 1"	"3"	" 1"
189810101	13	" 1"	NA	"-1"	"6"	" 1"	"1"	" 1"	"7"	" 1"	0	" 1"	"1"	" 1"
189810102	14	" 1"	NA	"-1"	"6"	" 1"	"1"	" 1"	"7"	" 1"	0	" 1"	"1"	" 1"
189810201	17	" 1"	10	" 1"	"1"	" 1"	"1"	" 1"	"3"	" 1"	NA	"-1"	"1"	" 1"
192690201	17	" 1"	50	" 1"	"1"	" 1"	"1"	" 1"	"4"	" 1"	4	" 1"	"2"	" 1"
193090301	7	" 1"	40	" 1"	"1"	" 1"	"1"	" 1"	"4"	" 1"	6	" 1"	"1"	" 1"
194160101	17	" 1"	10	" 1"	"2"	" 1"	"1"	" 1"	"4"	" 1"	5	" 1"	"1"	" 1"
195760201	4	" 1"	100	" 1"	"3"	" 1"	"3"	" 1"	"6"	" 1"	0	" 1"	"3"	" 1"
195760202	13	" 1"	300	" 1"	"3"	" 1"	"2"	" 1"	"6"	" 1"	0	" 1"	"3"	" 1"
195760401	14	" 1"	900	" 1"	"1"	" 1"	"3"	" 1"	"7"	" 1"	0	" 1"	"1"	" 1"
195870101	11	" 1"	NA	"-1"	"3"	" 1"	"2"	" 1"	"7"	" 1"	0	" 1"	"1"	" 1"
197630201	11	" 1"	20	" 1"	"3"	" 1"	"3"	" 1"	"4"	" 1"	0	" 1"	"1"	" 1"
205450201	14	" 1"	7	" 1"	"2"	" 1"	"1"	" 1"	"3"	" 1"	4	" 1"	"1"	" 1"
205670101	11	" 1"	20	" 1"	"1"	" 1"	"1"	" 1"	"4"	" 1"	4	" 1"	"3"	" 1"
205900101	13	" 1"	60	" 1"	"6"	" 1"	"2"	" 1"	"7"	" 1"	NA	"-1"	"1"	" 1"
205900102	6	" 1"	60	" 1"	"6"	" 1"	"2"	" 1"	"7"	" 1"	NA	"-1"	"1"	" 1"
206090301	9	" 1"	30	" 1"	"2"	" 1"	"1"	" 1"	"2"	" 1"	3	" 1"	"3"	" 1"
206090302	7	" 1"	30	" 1"	"2"	" 1"	"1"	" 1"	"2"	" 1"	3	" 1"	"3"	" 1"
206450101	12	" 1"	10	" 1"	"2"	" 1"	"1"	" 1"	"3"	" 1"	15	" 1"	"1"	" 1"
208380301	8	" 1"	NA	"-1"	"1"	" 1"	"3"	" 1"	"7"	" 1"	0	" 1"	"4"	" 1"
208380302	11	" 1"	NA	"-1"	"6"	" 1"	"3"	" 1"	"7"	" 1"	0	" 1"	"4"	" 1"
208700101	5	" 1"	15	" 1"	"6"	" 1"	"1"	" 1"	"1"	" 1"	4	" 1"	"1"	" 1"
208700102	3	" 1"	15	" 1"	"6"	" 1"	"1"	" 1"	"1"	" 1"	4	" 1"	"1"	" 1"
209530101	7	" 1"	NA	"-1"	"6"	" 1"	"3"	" 1"	"7"	" 1"	0	" 1"	"4"	" 1"
209530102	4	" 1"	NA	"-1"	"6"	" 1"	"3"	" 1"	"7"	" 1"	NA	"-1"	"4"	" 1"
209570101	13	" 1"	20	" 1"	"2"	" 1"	"1"	" 1"	"1"	" 1"	8	" 1"	"3"	" 1"
212780101	17	" 1"	10	" 1"	"1"	" 1"	"1"	" 1"	"3"	" 1"	15	" 1"	"3"	" 1"
214410201	4	" 1"	5	" 1"	"1"	" 1"	"3"	" 1"	"1"	" 1"	2	" 1"	"3"	" 1"
214410401	NA	"-1"	NA	"-1"	"1"	" 1"	"3"	" 1"	"7"	" 1"	0	" 1"	"1"	" 1"
214530101	17	" 1"	30	" 1"	"3"	" 1"	"3"	" 1"	"4"	" 1"	0	" 1"	"1"	" 1"
216600201	17	" 1"	45	" 1"	"1"	" 1"	"1"	" 1"	"3"	" 1"	4	" 1"	"1"	" 1"
218260101	15	" 1"	15	" 1"	"2"	" 1"	"1"	" 1"	"3"	" 1"	6	" 1"	"3"	" 1"
218680101	14	" 1"	NA	"-1"	"1"	" 1"	"1"	" 1"	"7"	" 1"	0	" 1"	"2"	" 1"
222570301	10	" 1"	30	" 1"	"1"	" 1"	"1"	" 1"	"4"	" 1"	14	" 1"	"1"	" 1"
228330301	7	" 1"	5	" 1"	"1"	" 1"	"2"	" 1"	"3"	" 1"	15	" 1"	"3"	" 1"
223080101	14	" 1"	5	" 1"	"1"	" 1"	"1"	" 1"	"1"	" 1"	0	" 1"	"1"	" 1"
223080102	14	" 1"	5	" 1"	"1"	" 1"	"1"	" 1"	"1"	" 1"	0	" 1"	"1"	" 1"
224020101	16	" 1"	45	" 1"	"2"	" 1"	"3"	" 1"	"4"	" 1"	3	" 1"	"1"	" 1"
226050101	13	" 1"	60	" 1"	"1"	" 1"	"2"	" 1"	"6"	" 1"	0	" 1"	"1"	" 1"
227310101	8	" 1"	90	" 1"	"2"	" 1"	"1"	" 1"	"1"	" 1"	0	" 1"	"1"	" 1"
227720101	13	" 1"	1	" 1"	"5"	" 1"	"1"	" 1"	"7"	" 1"	0	" 1"	"3"	" 1"
